qstr_Breaking_camp...|야영지를 파괴합니다...
qstr_{s1}^^You_were_born_|{s1}^^당신은 {s2}의 아들로 태어났습니다. {s3}
qstr_Your_family_baptised|당신과 당신의 가족은 로마의 그리스도 신앙으로 세례받았습니다.
qstr_and_you_were_fascina|그리고 당신은 마을에 방문하는 사제들의 이야기를 좋아했습니다. 사제의 이야기를 들을수록 당신은 기독교에 더욱 헌신하게 되었으며, 성경과 예수의 삶, 사도의 가르침을 따르기로 맹세하였습니다.
qstr_Your_family_believed|당신과 당신의 가족들은 고대 노스 신앙을 믿었습니다.
qstr_You_soaked_up_all_of|당신은 밤마다 벽난로 앞에서 옛 신들의 이야기를 들어왔고 신화에 매료되어 철저한 신자로 거듭났습니다. 당신은 각 북구의 신들에게 매일같이 기도드렸습니다. 오딘: 주요 신, 토르: 하늘과 천둥을 다스리는 천둥신, 프레이야: 미의 여신.
qstr_a_page_at_a_nobleman|귀족의 종자
qstr_You_were_chosen_to_b|당신은 왕국에서 가장 부유한 귀족을 모시기도 하였습니다. 귀족 가문을 모시면서 배운 가장 첫번째 미덕은 겸손이었습니다. 귀족을 모시는 대가로 당신은 체스 게임, 뒷담, 음유시인이 읊어주는 사랑 이야기 등 다양한 오락 거리를 얻을 수 있었습니다. 또한 당신은 다른 아이들과 나무 칼을 이용한 거친 싸움을 통해 바깥 세상에서 생기는 경쟁과 승리에 대해 배웠습니다. 이러한 값진 경험들은 당신의 현재의 삶에 영향을 미칠 것입니다.
qstr_a_craftsman_s_appren|대장장이의 견습생
qstr_Your_parents_sent_yo|부모님은 당신이 기술을 배우기를 원했습니다. 몇 년간의 새로은 스승 밑에서 견습생 시절을 거친 당신은 결국 제대로 금액을 지급받는 대장장이까지 승진하였습니다. 당신은 도구와 제작 기술에 숙련되었습니다.
qstr_a_shop_assistant|가게 조수
qstr_In_the_employ_of_a_s|가게 주인 밑에서 당신은 사람들을 끌어모으고 구매하도록 설득하는 방법을 배웠습니다. 이곳 저곳을 돌아다니는 무역을 통해 당신은 다양한 사람들을 대하는 방법을 배우고, 각 문화권에서의 유의해야할 점에 대해 배울 수 있었습니다.
qstr_a_street_urchin|거리의 부랑아
qstr_You_ended_up_in_the_|당신은 길거리로 내몰렸었습니다. 구걸부터 도둑질까지 당신은 살기 위해 무엇이든 해야만 했고, 당신은 쫓는 경비원을 피하기 위해 항상 그들보다 앞서 움직여야 했습니다.
qstr_a_farmer_child|농부의 아이
qstr_You_put_your_strong_|당신은 농사일을 도왔습니다. 가축을 기르는 방법과 농사일뿐만 아니라 풍년의 즐거움과 흉년의 배고픔에 대해 배웠습니다. 당신은 작은 기쁨이나 슬픔에 동요하지 않게 되었고 어느 상황에서든 적응할 수 있게 되었습니다.
qstr_{s1}^^You_spent_your|{s1}^^당신은 청소년기에 {s2}로서 자라났습니다. {s3}
qstr_Formerly_being_a_sla|최근까지 당신은 노예였습니다.
qstr_your_adult_life_was_|당신의 성인 시절은 불행으로 가득했습니다. 주인을 위해 모든 험한 일들을 도맡아 행했으며 그 과정에 당신의 손은 굳은 살이 박히고 빠르며 강해졌습니다. 때때로 당신의 주인이 음식을 주지 않아 들판에서 먹을 것을 스스로 구해야 할 때도 있었습니다. 당신의 세계는 작고 단조롭게만 보였고, 매일 매일이 같은 날처럼 느껴졌습니다. 해가 뜰 때부터 질 때까지 허리가 끊어지도록 일해야 했으며, 그 보상은 단지 하루하루 연명할 수 있다는 것뿐이었습니다. 가끔씩 주어지는 쉬는 시간마다 당신은 돌을 던지는 연습을 하였고, 몇 걸음 떨어진 곳에서 돌이 정확히 맞는 소리가 들릴 때마다 당신은 만족스러워했습니다.
qstr_Formerly_you_were_a_|최근까지 당신은 사제였습니다.
qstr_When_you_were_not_wo|당신은 수도원에서 부러진 뼈를 붙이고 다친 상처를 치료하는 방법을 배웠습니다. 수도원에서 일이 없거나 공부를 하지 않을 때마다 당신은 신의 말씀을 전하기 위하여 돌아다녔습니다. 당신의 이야기를 듣는 사람들은 모두 당신의 열정에 감탄하였고 당신에게 먹을 것, 마실 것, 잘 곳을 제공하여 주었습니다. 농민들의 당신에 대한 환대는 계속 커져 갔고, 당신이 만든 물건을 사기 위해 수도원으로 찾아오기까지 했습니다. 이제 당신은 수도원의 두꺼운 벽에서 벗어나 바깥 세상으로 나가고자 합니다. 긴 여정에 앞서 당신이 챙긴 것은 막대기 하나와 당신의 마음을 편안하게 해 줄 성물뿐입니다.
qstr_Formerly_you_were_a_t|최근까지 당신은 여행자였습니다.
qstr_Responding_to_the_ca|길을 따라 걸으며 당신은 이 마을 저 마을을 여행하였습니다. 여행 중 발견하는 것은 어떤 것이든 당신은 상점에 팔았습니다. 비록 부유한 생활은 아니었지만, 당신의 흥정 기술을 이용해 값어치 낮은 물건도 비싼 가격에 팔 수 있었고, 이에 당신은 자신감을 얻을 수 있었습니다. 이대로라면 당신만의 거래 제국을 만들 것이 그저 꿈속 망상에 지나지는 않을 것이었습니다.
qstr_Formerly_you_were_a_p|최근까지 당신은 밀렵꾼이였습니다.
qstr_Unsatisfied_with_com|당신은 다른 사람들보다 재산에 대한 열망이 훨씬 컸습니다. 당신은 영주의 사냥터에서 몰래 사냥을 하여 그 고기를 가져다 팔기도 하였으며, 경비병 바로 근처에서 대담하게 나무를 베어 넘기고 당신의 집의 땔감으로 사용하기도 했습니다. 당신에게 명예는 페닝 몇 닢에 팔아버려도 될 정도로 값어치 없는 존재였습니다. 다시금 어려운 세상이 찾아오자 당신은 음식과 마실 것을 찾기 위해 들판으로 나오게 되었습니다.
qstr_Formerly_you_were_a_f|최근까지 당신은 약간의 땅까지 소유한 {reg59?자유민의 아내:자유민}이었습니다.
qstr_{reg59?Being_wife_to|{reg59?당신은 자유민의 아내이기에 시종의 아내에 비해서는 훨씬 안락한 삶을 살 수 있었습니다. 당신에게는 힘든 일을 할 때 도와주는 시종도 몇 명 있었지만, 남편이 많은 땅을 소유한 것은 아니기에 당신은 일반적으로 농부의 아내라면 해야 하는 소일거리는 해야 했습니다. 당신의 남편은 영주에게 세금도 내야 했고 국가를 위해 노동력도 제공해야 했습니다. 영주가 전쟁에 나서야 할 때면, 남편도 보병으로서 참전했습니다. 그는 만약에라도 자신이 집을 지킬 수 없는 경우를 대비해 당신에게 무기를 사용하는 방법을 종종 가르쳐줬습니다.  :당신은 자유민이기에 시종들의 삶보다는 안락한 삶을 살 수 있었습니다. 당신은 힘든 일을 할 때면 도와주는 시종이 있었지만 그렇게 많은 땅을 소유한 것은 아니기에 일반적인 농부라면 하는 일을 해야 했습니다. 당신은 영주에게 세금도 내야했고 국가를 위해 노동력도 제공해야 했습니다. 영주가 전쟁에 나서야 할 때면, 당신 또한 보병으로서 참전했습니다.}
qstr_{s1}^^Through_persis|{s1}^^끈기와 약간의 행운을 통해, 당신은 지역 영주들의 비위를 어떻게 맞춰주는지 배웠습니다. 마침내, 영주가 당신을 왕에게 추천해 주었고, 당신은 왕에게서 약간의 영토와 보상을 하사받았습니다. 이제 당신은 하사받은 것에 대한 당신의 가치를 증명해야 합니다.
qstr_{s1}^^Then_you_happe|{s1}^^그러다 당신은 어린 영주의 관심을 사로잡았습니다. 전통과 많은 탄원을 무시하면서까지 그는 당신과 결혼하였지만, 얼마 못 가, 경기 중에 우연히 치명적인 상처를 입게 되었습니다. 그에게는 삼촌이나 형제, 아들이 없었습니다. 그 결과 당신이 그의 조그마한 방치된듯한 영지를 물려받게 되었습니다. 이제 당신은 이 영지를 토대로 스스로를 일으켜 세워야 합니다.
qstr_{s1}^^Through_persist|{s1}^^끈기와 약간의 행운을 통해, 당신은 지역 영주들의 비위를 어떻게 맞춰주는지 배웠습니다. 일련의 사건들이 터져 왕국에 지배자가 없는 상황이 오자, 그는 두 파벌 간의 타협한 결과로 왕위를 나눠 먹자고 당신에게 제안했습니다. 당신은 일부로 왕국의 작은 부분을 선택하였지만, 갑작스러운 상대 왕의 죽음으로 왕국의 유일한 통치자가 되었습니다. 하지만 왕국의 모든 이가 이번 일을 좋게 생각하는 건 아니었고, 주변의 다른 왕국 또한 이런 사실을 당신 왕국의 약점으로 인식하고 있습니다. 이제 당신은 이런 상황 속에서 왕국을 이끌어 나가야 합니다.
qstr_{s1}^^Then_you_happen|{s1}^^그러다 당신은 어린 왕의 관심을 사로잡았습니다. 전통과 많은 탄원을 무시하면서까지 그는 당신과 결혼하였지만, 얼마 못 가, 경기 중에 우연히 치명적인 상처를 입게 되었습니다. 왕에게는 삼촌이나 형제, 아들이 없었습니다. 영주들은 왕위 계승으로 논쟁을 벌였고, 주변의 다른 왕국 또한 이런 사실을 당신 왕국의 약점으로 인식하고 있습니다. 이제 당신은 이런 상황 속에서 왕국을 이끌어 나가야 합니다.
qstr_>_Viking_Conquest_Ma|> 바이킹 컨퀘스트 메인 캠페인
qstr_A_storyline_campaign|메인 스토리를 따라가는 방식의 게임입니다. 메인 퀘스트를 위한 특별한 기능이 제공됩니다.
qstr_>_Sandbox_Campaign|> 샌드박스 캠페인
qstr_No_main_story_or_spe|메인 스토리나 메인 스토리를 위한 특수 효과들이 없습니다. 당신이 원하는 여행을 할 수 있습니다.
qstr_>_Lordly_Sandbox_Cam|> 귀족 샌드박스 캠페인
qstr_You_start_as_a_lord_|당신은 한 국가의 영주로 시작하게 됩니다.
qstr_>_Royal_Sandbox_Camp|> 왕족 샌드박스 캠페인
qstr_You_start_as_leader_|당신은 한 국가의 통치자로 시작하게 됩니다. 국왕 폐하 만세!
qstr_STAMINA_>_Realism_Fe|기력 > 현실적인 기능.
qstr_This_feature_affects|이 기능은 플레이어 이외에도 모든 인물들에게 영향을 미칩니다.^체력과 운동 능력, 전투 중 받은 저항에 의해 기력이 결정됩니다. 인물들의 기력이 바닥났을 때에는 더 이상 뛸 수 없게 되고 무기 공격력이 절반 가까이 떨어집니다.
qstr_ARMOR_PENALTY_>_Real|방어에 대한 페널티  > 현실적인 기능.
qstr_This_feature_affects_|이 기능은 플레이어 이외에도 모든 인물들에게 영향을 미칩니다.^당신이 무거운 갑옷을 장착할 때 능력치 수치가 떨어집니다. 단순히 중갑옷을 입던 기존의 방식에 변화를 주고, 경갑옷을 입은 병종들의 특징을 부각시켜줍니다.
qstr_EASY_RECRUITMENT_>_B|자유로운 징병 가능 > 초보 기능.
qstr_When_you_ask_permiss|마을 장로나 영주에게 징병 권한을 요청할 경우 항상 어떠한 대가도 없이 징병 권한을 얻을 수 있게 만듭니다. 게임의 몰입도와 시대적 요소를 중요시하는 플레이어에게는 권장되지 않습니다.
qstr_RESTING_MORALE_>_Rea|사기 진작을 위한 휴식 필요 > 현실적인 기능.
qstr_INSANE_DIFFICULTY_>_|미친듯한 난이도 > 숙련된 플레이어 기능.
qstr_Your_troops_need_thr|당신의 병사를 상위 병종으로 승급시키는 데에 필요한 경험치가 3배가 됩니다. 적들의 공격력은 2배가 되며, 당신의 공격력은 절반으로 줄어듭니다. 하드코어 플레이어에게만 추천합니다.
qstr_GORE_>_+18_Feature.|선혈 표시 > +18세 기능.
qstr_DISABLE_SCENIC_MENU_|3D 영지 조경 비활성화 > 성능 관련 기능.
qstr_Disable_the_3D_view_i|컴퓨터 사양이 낮은 플레이어를 위해 3D 영지 조경을 비활성화시켜 로딩 속도를 올려줍니다.
qstr_SHIELD_BASH_>_Realis|방패 강타 > 현실적인 기능.
qstr_Player_and_AI_troops|플레이어와 AI 병사들 모두
qstr_...Anno_Domini_868..|...기원후 868년...
qstr_My_name_is_Beda_the_|나는 베다라고 하는 늙은이요, 그리고 나는 내가 살았던 시대에 무슨 일이 있었는지에 대한 연대기를 쓰려고 하고 있소...
qstr_BEDA_CHRONICLE^^{s2}|베다 연대기^^{s2}^^ {s3}
qstr_{s1}On_head.___{reg2|머리에 {s1}. (-{reg2} 지능)^{s2}^^
qstr_{s1}On_face.___{reg2|얼굴에 {s1}. (-{reg2} 매력)^{s2}^^
qstr_{s1}On_body.___{reg2|몸에 {s1}. (-{reg2} 힘)^{s2}^^
qstr_{s1}On_limbs.___{reg|팔에 {s1}. (-{reg2} 민첩)^{s2}^^
qstr_Accumulated_Injuries|누적된 부상:^^없음
qstr_Accumulated_Injuries:|누적된 부상:^^{s1}큰 도시의 의사가 이 상처들을 치료할 수 있습니다.
qstr_Healing_wounds:^^non|낫고 있는 상처:^^없음
qstr_Healing_wounds:^^{s1|낫고 있는 상처:^^{s1}이 상처들은 시간이 지남에 따라 저절로 치료될 것입니다.
qstr_{s1}On_head.___{reg1|머리에 {s1}. (-{reg1} 지능)^^
qstr_{s1}On_face.___{reg1|얼굴에 {s1}. (-{reg1} 매력)^^
qstr_{s1}On_body.___{reg1|몸에 {s1}. (-{reg1} 힘)^^
qstr_{s1}On_limbs.___{reg1|팔에 {s1}. (-{reg1} 민첩)^^
qstr_Scars:^^none|흉터:^^없음
qstr_Scars:^^{s1}These_in|흉터:^^{s1}이 상처들은 흉터로 남아 영원히 치료할 수 없습니다.
qstr_Lifetime_wounds:_{re|고칠 수 없는 상처: 현재까지 {reg1}개.
qstr_Current_party_size_l|현재 부대 크기 제한 {reg0}.^부대 크기 세부 내용:^^기본 크기: {s5}{reg31}^지휘력: {s2}{reg32}^매력: {s3}{reg33}^명성: {s4}{reg34}^최종:  {reg0}
qstr_^Religious_Differenc|^종교적 성향 차이:  -{reg7}
qstr_^No_food:___{reg7}|^식량 없음:  -{reg7}
qstr_^Wage_debt:___{reg7}|^미지급 임금:  -{reg7}
qstr_Currently_falling_fr|최근의 사건에 의한 영향: +
qstr_Currently_rising_fro|최근의 사건에 의한 영향:
qstr_{s11}{s10}{s12}|{s11}{s10}{s12}
qstr_^^These_pagan_troops|^^다음 이도교 군대가 문제를 발생시킴: {s11}
qstr_^^These_Christian_tr|^^다음 그리스도교 군대가 문제를 발생시킴: {s11}
qstr_^^Player_currently_h|^^완벽하게 통솔할 수 있는 수 보다 너무 많은 군대를 가지고 있음
qstr_Current_party_morale|현재 부대 사기: {reg5}.^^-부대 사기 세부내용-^^기본 사기:  +{reg8}^부대 크기에 따른 패널티: {s2}{reg1}^휴식 부족: {s3}{reg2}^다양한 식량: {s4}{reg3}{s5}{s6}^{s7}{reg4}^{s13}^^{s19}
qstr_{s18}^^_____________|{s18}^^----------------^^{s20}
qstr_{s17}_^_{s18}|{s17} ^ {s18}
qstr_{s15}_^_{s16}|{s15} ^ {s16}
qstr_{s22}^^Friends:_^{s8|{s22}^^아군: ^{s8} ^^적군: ^{s6}^{s19}
qstr_^^Your_estates_are:_|^^당신의 재산은: ^{s18}^{s19}
qstr_Mercenary_employed_b|{s18}의 용병으로 고용됨.^{s19}
qstr_Report:_^^_{s19}|보고서: ^^ {s19}
qstr_On_loan|다른 영주에게 빌려줌.
qstr_is_{s16}_your_choice|는 당신의 동료 선택에 대해 '{s16}'을 느낌. 당신의 지휘 방식에 대해 '{s17}'을 느낌. 최근의 사건에 대해 '{s18}'을 느낌.^사기 : {reg0}
qstr_Companions_Info:^^_{|동료 정보:^^ {s19} ^^-----------^^ 현재:^^ {s7}{s1}
qstr_Loyal|충성스러운
qstr_Devoted|헌신적인
qstr_Fond|좋아하는
qstr_Gracious|공손한
qstr_Friendly|우호적
qstr_Supportive|지지하는
qstr_Favorable|호의적인
qstr_Cooperative|협력적인
qstr_Accepting|솔직한
qstr_Indifferent|무관심한
qstr_Suspicious|의심스러워하는
qstr_Unhappy|불만족스러워하는
qstr_Resentful|분개하는
qstr_Angry|화난
qstr_Hostile|적대적인
qstr_Hateful|증오하는
qstr_Vengeful|복수심에 찬
qstr_Sworn_Enmity|원수
qstr_Your_relations_with_|당신과 왕국들과의 관계:^^{s2}
qstr_Build_your_personal_|당신의 은신처를 건설할 수 있습니다.
qstr_You_already_have_a_r|당신은 이미 은신처를 건설했습니다. 이곳에 은신처를 세울려면 이전 은신처를 철거해야만 합니다.
qstr_You_don_t_have_enough|당신은 돈이 부족합니다! 은신처의 건설에는 1000페닝이 소모됩니다.
qstr_You_need_to_have_mor|이 작업을 시작하기 위해서는 30명의 병력이 필요합니다.
qstr_Your_men_await_your_|건설에 필요한 충분한 자원을 모았으며, 인부들이 당신의 건설 명령만을 기다리고 있습니다.^^최종 비용: 1000 페닝^소요 예정 시간: 6시간
qstr_{s2}^^_{s3}|{s2}^^ {s3}
qstr_You_are_in_the_kingd|당신은 덴마크 왕국에 있습니다.^^덴마크는 바이킹 시대의 중요한 노스 국가입니다. 덴마크는 강력했던 프랑크 제국을 상대로 방어만 했는게 아니라, 서유럽의 수도원과 교회를 공격하고 약탈하기도 하였습니다. 또한, 덴마크 바이킹들은 당시 최고의 상인으로도 알려졌습니다. 윌란 반도에서 강력한 중앙집권이 시작되자, 이제 덴마크는 그들의 땅을 넘어 약탈하고 무역하고자 합니다. 남자는 주로 바다를 건너다니고, 여자들이 고향에 남아 농사를 짓습니다.
qstr_You_are_in_the_kingdo|당신은 노스비거 왕국에 있습니다.^^노스비거에서는, 산악지형과 협만이 천연요새로써 작용합니다. 지형이 험한 관계로 지역끼리의 교류가 잘 안되어, 이 땅은 세 왕국으로 나뉘어져 있습니다. 이 조그만한 세 왕국에서 강력한 영주들은 현재 권력투쟁에 들어간 상태입니다. 바다가 노스비거 왕국들이 외부와 교류할 수 있는 가장 쉬운 방식이여서, 사람들은 바다를 통해 무역이나 약탈을 하러 갑니다. 농사를 짓기에 적합한 땅이 적은 노스비거 사람들은 비교적 인구가 적은 서쪽 섬을 개척하고 있습니다. 초기에는 노스비거 사람들이 바이킹으로서 브리튼과 에리우에 침략하였지만, 이후에는 덴마크도 합류하게 됩니다.
qstr_You_are_in_the_kingdom|당신은 레이슬린트 왕국에 있습니다.^^레이슬린트는 노스인들이 지배하는 스코틀랜드 일부와 아일랜드 북쪽 지역으로, 바이킹에 의해 30년 전에 정복되었습니다. 이후 이 왕국은 브리튼으로 확장하기 위한 노스인들의 전초기지가 되었습니다. 이에 반하여, 내부적으로는 독재자에 대해 투쟁이 있는 중입니니다.
qstr_You_are_in_the_kingdom_|당신은 프리지아 왕국에 있습니다.^^프리지아는 북해의 남쪽 해안을 따라 위치하고 있습니다. 프리지아 사람들의 근원은, 사용하는 언어로 볼 때에 앵글로 색슨과 가깝습니다. 프리지아 영역은 프랑크 북쪽 지역에서 덴마크 국경까지 확장하기 위한 중요한 무역 지역이었습니다. 프리지아는 처음에는 프랑크 왕국에 정복되었지만, 지금은 덴마크인이 통치하고 있습니다.
qstr_You_are_in_the_kingdom_o|당신은 웨식스 왕국에 있습니다.^^웨식스는 브리튼에서 가장 서쪽에 있는 색슨인들의 왕국입니다. 몇 십년 전, 에그베르트 왕은 머시아 왕국을 점령하고 대군주 지위를 노섬브리아의 왕으로부터 넘겨받았고, 그리하여 브리튼왈다가 되었습니다. 지배하던 시기는 오래가지 못하였지만, 웨식스 왕국이 남쪽 잉글랜드까지 확장했었습니다는 사실은 영원할 것입니다. 에그베르트 왕의 말년에 웨식스에도 바이킹의 습격이 시작되었습니다. 침략한 덴마크인들은 엑버트의 아들과 후계자인 에델울프 왕에게 아크레아 전투에서 크게 패하였습니다. 이 승리로 덴마크인의 잉글랜드 정복이 15년 미뤄졌지만, 웨식스에 대한 침공은 계속되었습니다. 이후 왕국은 에델울프의 네 아들에게 각각 순차적으로 계승되었습니다: 에델발드, 애설버트, 현재 왕 에셀드, 현재 부왕 앨프레드.
qstr_You_are_in_the_kingdom_of|당신은 이스트 앵글리아 왕국에 있습니다.^^이스트 앵글리아 왕국은 브리튼의 가장 동쪽 끝에 위치한 작은 왕국입니다. 브리튼 지역의 어떤 왕국보다도 일찍부터 앵글인들이 정착하여, 울핑가스에 의해 통치되고 있었지만 곧 머시아 왕국에 정복당하게 됩니다. 바이킹들이 이스트 앵글리아를 휩쓸고 다녔지만, 이후 색슨인들이 두 번의 전투에서 크게 승리하게 됩니다. 승리 이후에는 단 한 번만의 바이킹의 공격이 있었을 뿐 전반적으로 평화로운 기간을 지냈습니다. 하지만, 끝내는 덴마크인들은 습격을 중지하고 직접 군대를 이끌고 나타났습니다.
qstr_You_are_in_the_kingdom_of_|당신은 머시아 왕국에 있습니다.^^머시아는 앵글로 색슨 왕국의 가장 강력한 왕국 중 하나로, 트렌트 강과 그 지류를 중심으로 형성되었습니다. 왕국의 국경은 초기에 앵글로 색슨인이 거주하던 지구 사이에 있던 미드랜드라 불리는 곳과 서쪽에 있던 켈트 부족과의 경계로 이루어져 있었습니다만, 수도인 톰턴부터 시작하여 6개의 앵글로 색슨 왕국 중 5개의 왕국을 머시아인들은 3세기 동안 지배하게 됩니다. 이 시기를 머시안의 전성기로 알려져 있습니다. 하지만, 위대한 이교도 군대가 노섬브리아를 점령하고 나서부터 머시아의 지배가 계속될 수 있을지 큰 의문점을 남기게 되었습니다.
qstr_You_are_in_the_kingdom_of_N|당신은 노섬브리아 왕국에 있습니다.^^노섬브리아는 앵글로 색슨 왕국의 가장 북쪽에 위치한 왕국입니다. 이 왕국은 알반 왕국의 남쪽에서부터 험버 강 북쪽까지 세력을 확장해왔습니다. 초창기에는 버나시아 왕국과 디에라 왕국의 연합에서 시작되었지만, 점차적으로 켈트 부족의 영역을 침입하여 북쪽과 서쪽으로 세력을 확장해 나갔습니다. 할프단 라그나르손과 이바르 형제들은 노섬브리아를 정복하고 앵글로 색슨 귀족인 에그베르트를 허수아비 왕으로 추대했습니다.
qstr_You_are_in_the_kingdom_of_G|당신은 귀네드 왕국에 있습니다.^^귀네드 왕국은 로마가 몰락하고 색슨인이 도착하면서 생긴 왕국 중 하나입니다. 북서웨일스에 중심을 둔 귀네드의 통치자는 내전과 침략으로 힘을 잃기 전까지 '브리타니아인의 왕'으로도 불렸었습니다. 귀네드의 브리타니아인들은 아직까지 로마인의 정신이 남아 있어서, 그들의 왕은 지속적으로 고대 로마 통치와 연결하며 라틴과 그리스도교를 채택하고 있습니다만, 점차 군국주의적 부족사회로 넘어가는 중입니다. 왕국은 현재도 로드리 대왕의 노력으로 확장해 나가고 있는 상태입니다.
qstr_You_are_in_the_kingdom_of_B|당신은 브뤼케니오그 왕국에 있습니다.^^브뤼케니오그는 남웨일즈의 작은 독립된 국가입니다. 이 왕국은 종종 동쪽 잉글랜드와 서쪽 브리튼 지역의 완충 역할을 하고 있으며, 에리우에서 침략한 자들에 의해 왕국이 세워졌을 것으로 추정하고 있습니다. 현재 왕국은 주변 국가인 글리위싱과 불화에 잠긴 상태입니다.
qstr_You_are_in_the_kingdom_of_A|당신은 알트 클럿 왕국에 있습니다.^^알트 클럿 왕국은 앵글로 색슨 지역의 최북단 지역과 알반 왕국의 최남단 지역에 클라이드 강의 둑을 따라 위치해있습니다. 이 왕국은 고대 로마가 멸망할 때에 생성되었습니다. 알트 클럿 왕국은 그들의 강력한 의지로 달 리아타 왕국과 세 번의 픽트 침략을 견뎌냈습니다. 픽트인들과 노섬브리아인의 연합으로 몇 년에 걸친 공격 끝에 알트 클럿 왕국은 점령되었지만, 18년 전에는 픽트인들의 수도인 던블레인을 불태우기도 했었습니다.
qstr_You_are_in_the_kingdom_of_C|당신은 코르누비아 왕국에 있습니다.^^코르누비아 왕국은 잉글랜드의 남동쪽을 차지했었고, 북서쪽으로는 켈트해, 남쪽으로는 영국해협을 경계로 했습니다. 코르누비아는 코노비로도 알려진 켈트 부족의 고향이었습니다. 웨일즈의 브리타니아인과는 디올함 전투에서부터 분리됐으며, 국경 확장을 위해 고군분투하였지만 웨식스 왕국에 의해 빛을 보지 못 했습니다. 이들은 협곡에 다리도 놓았으며, 대륙에 안식처를 차리기도 했습니다.
qstr_You_are_in_the_kingdom_of_GL|당신은 글리위싱 왕국에 있습니다.^^조그만한 켈트 왕국인 글리위싱은 전 실루리아인 지역 서쪽에서 에우제니오에 의해 탄생하였습니다. 비록 이들은 실루리아인의 후손들이었지만, 웨일즈에서 가장 로마식의 국가였습니다. 글리위싱은 후에 전설적인 초기 군주에 의해 글리비스로도 불렸으며, 최근에는 브뤼케니오그와의 불화에 빠져있습니다.
qstr_You_are_in_the_kingdom_of_U|당신은 울라 왕국에 있습니다.^^울라 왕국은 아이슬란드의 북쪽에 위치한 왕국으로, 게일계 울라이드인의 고향입니다. 위 네일 역대 왕조들은 왕국을 흡수 후, 타이론을 기반으로 지배하였습니다.
qstr_You_are_in_the_kingdom_of_L|당신은 레이긴 왕국에 있습니다.^^에리우의 최남쪽에 위치판 왕국으로, 역사적으로 첫 번째 왕이자 언덕 요새 던 에일린 지은 유크레인 몰이 레이긴 부족을 통합시켜 세운 국가입니다. 로마 군대가 브리튼을 떠날 때, 레이긴인들은 웨일즈의 북쪽에 자리를 잡았습니다. 오랜 기간, 레이긴의 통치를 놓고 위 둔레인 가문과 위 체인스레그 가문이 싸었지만, 최종적으로는 위 둔레인 가문이 왕관을 가져갔습니다. 19년 전, 브리튼에 대한 노스인의 일방적인 공격 중, 레이긴 왕국의 로칸 맥 셀락과 무메인 왕국의 올쵸바르 맥 키나다의 연합군이 시아스 넥테인에서 그들을 물리쳤습니다. 그럼에도 불구하고, 여전히 바이킹들은 해안가에 몇 개의 식민지를 형성하고 있습니다.
qstr_You_are_in_the_kingdom_of_M|당신은 무메인 왕국에 있습니다.^^에리우의 남쪽에 위치한 왕국으로, 이오가나타 왕조에 의해 통치되고 있습니다. 19년 전, 노스인의 침략에 연속적으로 패배한 이후, 올초발은 동쪽 이웃인 레이긴의 왕 로칸 맥 셀락과 힘을 합쳐 시아스 넥테인에서 그들을 멈췄습니다. 이때 죽은 이중 한 명이 레이슬린트 왕국의 국왕 야를 톰레어였습니다.
qstr_You_are_in_the_kingdom_of_CO|당신은 칸노트 왕국에 있습니다.^^칸노트는 아이슬란드의 최북쪽에 위치한 왕국입니다. 과거 코타하트 왕들의 족보가 타라를 지배하던 미드랜드 통치자로 바뀐 적이 있습니다. 이 타라 왕조의 두 인물인, 리옹과 피아크라는 현재 모든 코노트 통치자가 포함되는 위 브리우인과 위 피아크라 가문을 설립하였습니다. 콘초바르 맥 타이그모르 또한 위 브리우인 가문의 한 갈래입니다. 현재는 노스인들이 샤논 강 중부 지점에 있는 섬에 정착하려는 움직임이 있습니다.
qstr_You_are_in_the_terri|당신은 에일레흐 위 네일에 있습니다.^^에일레흐는 에리우의 최북쪽에 위치한 왕국입니다. 에일레흐의 왕은 북부 위 네일에 속합니다. 왕국의 이름은 에일레흐의 언덕 요새 그리아난으로부터 유래했다고 합니다. 이 왕국은 울라 왕국에서 독립하여 나왔으며, 케넬 응에오게인 부족 주권 아래에서 살아가고 있습니다. 현재는 남부 위 네일과 불화 중이며, 에리우의 폐왕 자리를 놓고 '전통성'으로 대치 중입니다.
qstr_You_are_in_the_kingdom_of_MI|당신은 미드 왕국에 있습니다.^^미드의 의미는 '중앙'을 의미하며, 말 그대로 이 왕국은 에리우의 중앙에 위치하고 있습니다. 왕국은 에리우의 네 왕국의 통치자를 정복한 투아달 티치트마르에 의해 세워졌으며, 그들을 통합하여 타라 언덕 근처에 왕국을 세운 것입니다. 이후 6세기 동안 그들의 후손들은 어떤 간섭도 없이 에리우의 폐왕으로 불려왔었습니다. 그의 아들 로게이어는 그를 이어 성 패트릭 신부를 궁전에 초대하기도 하였습니다. 현재는 미드의 위 네일은 그들의 사촌들과 사이가 안 좋아짐에 따라 폐왕이라는 칭호를 번갈아가면서 사용하기로 합의를 본 상태입니다.
