str_yes|네.
str_gossip_about_character_upstanding|사람들은 {s6}을 섬기는 것이 큰 도움이 된다고 말하고 있소. 그는 아래 사람들에게 좋은 사람이며 그들이 일을 잘하면 그에 상응하는 보상을 해주고 있소.
str_latest_rumor|당신이 최근에 {s6}에 대해 들은 소문은 : 
str_changed_my_mind_martial|하지만, 당신의 감동적인 말들은 내 스스로를 되돌아보게 했소.
str_changed_my_mind_quarrelsome|하지만 당신의 말은 나를 빠져들게 하고 있소. 계속 듣고 있소.
str_changed_my_mind_pitiless|하지만 당신이 그렇게 늘어놓은 변명에, 나는 다시 생각해 볼 것이오.
str_changed_my_mind_cunning|하지만 당신도 알다시피, 당신의 말은 달변이군. 감동적이오, 계속 듣고 있소.
str_changed_my_mind_sadistic|하지만 당신의 굉장한 언변이 당신 편에서 멋진 노래를 부르기 때문에 아직 그 생각을 잊어버리지 못하고 있소.
str_changed_my_mind_goodnatured|하지만 좋은 주장이라서 나는 열린 생각을 가지려고 노력하고 있소.
str_changed_my_mind_upstanding|그렇지만, 자네의 멋진 달변에 나는 계속 듣고 있네.
str_swadian_rebellion_pretender_intro|나는 리베의 토르길이오, 그리고 덴마크의 왕이 되어야 할 남자지.
str_vaegir_rebellion_pretender_intro|나는 페르구사의 아들인 케넬 응로아이른의 던갈이오, 그리고 아일랜드의 왕이 되어야 할 남자요!
str_khergit_rebellion_pretender_intro|나는 오스윈이고, 노섬브레에서 추방된 얼도르멘이오.
str_nord_rebellion_pretender_intro|나는 세오를이고, 곧 웨스트 색슨을 지배할 남자요.
str_rhodok_rebellion_pretender_intro|나는 브루드의 아들 빌리이고, 알반의 다음 왕이 될 남자요!
str_sarranid_rebellion_pretender_intro|안녕하시오, 이방인. 내 이름은 캐드왈론이오. 나는 귀네드 왕의 진정한 마지막 후계자요.
str_swadian_rebellion_pretender_story_1|내 아버지는 호릭, 그 망할 개자식이 해외를 습격하고 다니는 동안, 우리 백성들을 지켰소. 그 놈은 어떤 병력도 남기지 않고 해외로 떠났을 경우, 자기 백성들이 어떻게 될 지에 대해 생각해보지도 않았소! 허나 내 아버지는 그들을 지켰소!
str_vaegir_rebellion_pretender_story_1|나는 그 땅을 지배했던 내 아버지에 의해 30년 동안 후계자 자리에 있었소, 하지만 그 늙어 빠진 뼈다귀같은 놈은 '인생을 즐기고 다녔고' 새로운 젊은 그의 자식들을 후계자로 결정했지, 당신은 내 말이 무슨 뜻인지 잘 알고 있을 것이오.
str_khergit_rebellion_pretender_story_1|내 조국은 덴마크인들에 의해 멸망했소, 그들은 어느 날 갑자기 어디선가 나타났었지, 그들이 우리의 해안 근처 마을에 도착하고 우리의 도시를 포위하기 전까지, 나는 그들을 막기 위해 싸울 수 있는 모든 사람들을 소집할 수 있었소.
str_nord_rebellion_pretender_story_1|내 아버지는 마지막 왕의 형제였소. 왕은 내 삼촌에 의해 왕의 아들이 사악한 자라고 중상모략을 받았소, 내 삼촌은 왕의 아들이 그 스스로 정복한 마을을 처리하는 방식을 온갖 끔찍한 행위들로 꾸며 중상모략을 했지, 하지만 그는 그 스스로 중상모략에 응하지 않고 그의 아들을 후계자로 계속 두었소, 삼촌이라 불리는 망할 자식에 의해 왕의 아들이 죽기 전까지는 말이지.
str_rhodok_rebellion_pretender_story_1|지난 15년 동안 나는 마을들에 보호를 제공해 주고, 그들이 주는 몇 푼 안되는 페닝과 음식으로 연명해 왔소. 우리는 그런 대접을 받을 신분이 아닌데도 불구하고 말이오.
str_sarranid_rebellion_pretender_story_1|그 일에 대해서 이야기하자면, 옛날 내 조상이 허스펠스 체이스의 전투에서 데리아의 에드윈을 패배시켰소. 그 후, 우리는 왕위에서 쫓겨났고, 내 가족들은 왕족과는 거리가 먼 삶을 살고 있지.
str_swadian_rebellion_pretender_story_2|왕이 그의 모험에서 돌아왔을 때, 그는 은으로 된 이상한 십자가를 가져왔소, 그는 우리를 두려워했고, 아버지가 도적들을 공격했을 때. 그 곳에 있던 사람들은 모두 그에게 충성을 바쳤소. 호릭, 그 망할 겁쟁이는 우리 집에서 우리들을 쫓아냈고, 몇 달 뒤에 내 아버지는 불명예를 견디지 못하고 자살했소. 그 뒤, 나는 우리에게 충성하는 사람들과 함께 살고 있었소, 그들은 우리 민족의 진정한 지도자가 아버지임을 잘 알고 있었소.
str_vaegir_rebellion_pretender_story_2|더 중요한 것은, 그 어린 여왕은 정말 번식력이 좋았고, 그 년은 아이를 낳았소, 62살 먹은 늙어빠진 왕의 자식을 말이지... 그 뒤 몇 년 동안 합법적인 후계자인 나를 무시하고 아내들을 갈아치우면서 계속 후계자를 갈아치웠지... 지금! 내 아버지는 그 망할 어린 애들보다 서자지만 어른인 내가 더 적합한 후계자라는 것을 모르고 있소.
str_khergit_rebellion_pretender_story_2|그들은 우리 조상의 땅에서 우리들을 쫓아냈소, 나는 왕국이 건국된 이후 그 곳이 멸망하는 것을 지켜볼 수 밖에 없었소... 내 아버지는 나를 부끄러워할 것이오.
str_nord_rebellion_pretender_story_2|그 당시, 왕의 나이는 70살이었소, 그에겐 더 이상 아들이 없었고, 그는 내 아버지를 후계자로 지명했소. 그리고 얼마 지나지 않아, 내 삼촌은 바다에서 사고를 가장한 암살을 준비했고, 그 때 내 아버지와 왕이 둘 다 그의 손에 죽었소.
str_rhodok_rebellion_pretender_story_2|우리는 오직 이 거대한 도시를 떠돌아 다녔지, 그들은 진짜 위험이 우리에게 오고 있다고 말했소, 우리는 그들을 보호하지 못했고, 우리는 그들이 강탈당하고, 죽어가는 것을 지켜볼 수밖에 없었소. 그러나 그 모든 거짓말은 그 곳의 야를들과 그 중에서도 가장 쓰레기같은 왕이 저지른 짓들이고, 그들이 바로 진짜 도적이오.
str_sarranid_rebellion_pretender_story_2|지난 몇 년간 내 나라는 실권을 잡은 침략자들에 의해 고통받아 왔소, 그리고 마지막으로 나는 내 백성들이 내가 다시 왕위에 오르는 것을 바라 마지않고 있을 것이라 생각하고 있소.
str_swadian_rebellion_pretender_story_3|왕국의 모든 사람들은 내 아버지가 존재했음을 알고 있고, 내가 그와 같이 싸웠던 것도 알고 있소, 그리고 그들은 나와 내 사람들을 지지할 것이오. 당신 같은 용감한 사람들이 정복하고 다른 요새를 지키는 동안, 나는 수도를 점령하고 그 곳을 방어하기에 충분한 병력이 있소. 우리는 함께 호릭 왕을 쫓아내고 그가 나에게 빚진 내 왕위를 받아낼 것이오.
str_vaegir_rebellion_pretender_story_3|왕국은 몇 년 동안 존재해도 존재하고 있는 것이 아니오. 강력한 야를들이 그 곳에서 그들을 위협하고 있소. 나는 강력한 왕이 될 것이고, 그들은 우리의 적들에 대항하기 위해 강력한 왕을 필요로 하고 있소! 나는 내 정당한 왕위를 위해 당신의 도움을 필요로 하고 있소. 아버지는 그의 막내 아들 앞에서 나를 인정하지 않을 것이오. 우리는 왕국의 미래를 위해 싸워야만 할 것이오.
str_khergit_rebellion_pretender_story_3|그러나, 나는 나의 깃발 아래 다시 사람들을 결집시킬 것이오. 나는 내 조상들을 전에 모셨던 사람들을 모으고 있소, 그러나 나는 좀 더 뛰어난 지도자를 필요로 하고 있소, 내 최고의 지휘관 중 일부는 첫 번째 전투에서 죽었소. 나는 당신이 우리의 군대에 합류할 경우, 당신에게 내 군대 중 하나를 이끌 수 있는 권한을 줄 것이오, 그 것은 당신이 지배하는 당신 만의 도시를 가지게 할 수도 있을 것이오.
str_nord_rebellion_pretender_story_3|나는 그 음모에 내 사촌이 함께 가담했다고 확신하고 있소, 그 것은 우연의 일치라고 보기에는 너무 부자연스럽소, 너무 그에게 유리한 방향으로만 흘러갔지. 그 이후로 나는 살해당하지 않기 위해 조용히 지내고 있었지만, 그의 마수는 나에게로까지 다가왔었소, 그는 내 아내와 내 첩들을 몰래 납치한 후 죽였소. 그의 지휘관 중 대부분은 그에게 충성하고 있지만, 그의 사람들은 그를 폭압적이고 두려운 자라고 생각하고 있지. 우리는 당신의 도움으로 다시 평화로운 시대를 맞이할 수 있을 것이고, 우리 왕국의 번영을 가져올 수도 있을 것이오.
str_rhodok_rebellion_pretender_story_3|우리는 그의 주요 요새들에 대한 공격 계획을 준비했고, 그들의 공포스러운 지배를 끝장낼 것이오. 그 땅의 사람들은 우리를 보호하기 위해 기꺼이 우리에게 합류할 것이오, 나는 그 땅이 오롯이 나의 것이기 때문에, 어떤 경쟁자도 용납하지 않을 것이오. 만약 당신이 나에게 합류한다면 나는 당신이 황금으로 수영을 할 수 있을 정도의 많은 부를 약속할 수 있을 것이오. 일이 제대로 성공한다면, 당신은 그에 걸맞는 보상을 받을 수 있을 것이오.
str_sarranid_rebellion_pretender_story_3|나는 그저 내 병력에 대한 좋은 지휘관을 필요로 하고 있소, 그리고 가능하면 그와 함께하는 좋은 병사들도 필요로 하고 있지. 우리는 함께 내 가족에게 영광을 돌려줄 것이고, 우리는 우리가 받아야 할 정당한 위치에 같이 설 수 있을 것이오, 나와 함께해 주시오. 그렇게 된다면 당신의 부하들과 우리의 이름은 결코 잊혀지지 않을 것이오. 나는 맹세하겠소, 당신은 그 것에 대해 결코 후회하지 않을 것이오.
str_swadian_rebellion_monarch_response_1|내 자식은 이 땅에서 공정한 왕이 될 것이네... 나는 기회가 있었을 때 그의 아버지를 멀리 추방시켰어야 했지. 내가 가진 모든 재화는 밖에서 가져오는 것이고, 그 것이 없다면 이 왕국은 아무 것도 아닐 것이야. 만약 어떤 도적들이라도 내 왕국을 노략질할 생각을 가지고 있다면, 나는 내 많은 병력들과 함께 그들을 찍어 없앨 것이네.
str_vaegir_rebellion_monarch_response_1|그 어린 자식들은 세상에서 자신이 가지는 위치를 알지 못했을 테지만, 그는 서자야, 그는 그의 주인에게 봉사하는 것 이외에 그 어떤 권리도 주어지지 않아. 그는 내 아들과 같은 서열이지만, 그는 절대로 왕이 될 수 없을 것이야, 심지어 내 어린 자식이 죽는다 해도 말이지.
str_khergit_rebellion_monarch_response_1|누구를 말하는 거지? 나는 그런 자에 대해 들어본 적이 없네. 내 전에는 아버지가 있었고, 그 전에는 내 할아버지가 있었지, 내 할아버지의 할아버지 때부터 이 왕국을 통치해 왔고, 내 전에 살았던 조상들 옆에 그런 자는 있지도 않았어.
str_nord_rebellion_monarch_response_1|내 사촌은 몇 년 전에 좋은 기사가 되었네, 그는 우리 조상의 옛 친구들의 후손과 어울리기 시작했고, 나는 그가 지금은 단지 그들이 하는 말만을 믿고 있다는 것을 잘 알고 있네... 아버지가 그랬던 것처럼 말이지.
str_rhodok_rebellion_monarch_response_1|그는 도적놈에 불과하네. 지난 몇 년 동안 그는 내 마을들을 습격해 약탈했지. 그런 한낱 '도적'따위가 마을의 수호자라고 말하던가? 그들은 도적이야!
str_sarranid_rebellion_monarch_response_1|우리가 힘든 시간을 겪고 있는 것은 사실이네, 하지만 사람들은 너무 많은 침략에 고통받아 왔고, 때문에 그 것을 이해할 수 밖에 없을 것이네. 지금 나는 그가 우리 왕국에 가해진 그 공격에 대한 책임을 져야 할 사람 중 하나임을 알고 있네.
str_swadian_rebellion_monarch_response_2|그들은 우리에 대한 공격을 시도할 수도 있네, 하지만 그들은 내 마을들 중 하나를 점령할 만한 병력도 없지. 하! 내가 자네에게 충고 하나 하자면, 그를 무시하는 것이 좋을 것이네, 그는 수다쟁이지만 실속은 아무 것도 없는 자라네.
str_vaegir_rebellion_monarch_response_2|만약 그가 나에게 와서 무릎을 꿇는다면, 나는 그의 죄를 기꺼이 용서하고 나는 그를 내 합법적인 아들로부터 먼 곳에 살게 놔 둘 것이네.
str_khergit_rebellion_monarch_response_2|나는 내 왕위를 주장하는 그 어떤 반역자도 용서하지 않네. 그와 그의 지원자들을 포함해서 그들이 그런 행위를 시도할 경우, 나는 그들을 모두 잡아들일 것이고, 나는 지금 내 백성들을 보호할 것이네.
str_nord_rebellion_monarch_response_2|나는 그를 죽여야만 하는 선택을 강요당하고 있네. 나는 항상 있을 기습에 대해 그들을 내버려 둘 여유가 없네, 그는 그 것을 결코 이해할 수 없을 것이야. 그는 계속 사고를 칠 것이고, 나는 그 같은 일들이 계속 일어나는 것을 용납할 수 없네.
str_rhodok_rebellion_monarch_response_2|그들은 내 백성들의 고통의 원인이 되고 있네. 그들 중 한 명도 살아남아서는 안 될 것이야.
str_sarranid_rebellion_monarch_response_2|내 왕국의 모든 위험으로부터 내 모든 백성들을 보호하는 것이 나의 의무일세. 나는 그를 사로잡을 것이고, 그와 '대화'를 나눠봐야겠지. 우리는 이러한 상황을 더 이상 용납해서는 안 될 것이네.
str_courtship_comment_conventional_generic|는 아주 잘 양육됐다. (전통적인)
str_courtship_comment_adventurous_generic|는 충분히 예의바르다. (모범적인)
str_courtship_comment_otherworldly_generic|는 정중하고 세심하다. (조신한)
str_courtship_comment_ambitious_generic|는 밖에 잘 나가지 않는다. (야심을 품은)
str_courtship_comment_moralist_generic|좋은 성격이다. (도덕적인)
str_feast_description|부족합니다
str_feast_description_2|약간 부족합니다
str_feast_description_3|간신히 적당합니다
str_feast_description_4|충분합니다
str_feast_description_5|풍부합니다
str_feast_description_6|넘쳐납니다
str_feast_lengthy_description_1|당신이 제공할 음식은 손님들과 그들의 수행원들에게 부족했소. 당신은 그들의 음식과 음료 등을 주변 마을에서 꽤나 비싼 가격으로 구입해 주어야 할 것이오. 참석한 그들의 의견은 주최자로서의 당신은 의무를 다하지 못했다고 평가했고, 당신에 대한 신뢰와 전체적인 명성을 의심할 수밖에 없다고 했소.
str_feast_lengthy_description_2|당신이 제공할 음식과 음료는 결국 다 떨어졌소. 몇 손님들에게 필요한 음식과 음료 등을 어떻게든 사주십시오, 혹은 그들의 수행원 몇 명에게 부탁해서 빨리 그들을 그들의 영지로 돌려 보내시오. 그나마 나은 평가가 '부족한 준비와 형편없는 계획으로 연회를 열었다.'고 하고 있소, 어쨌든 당신에 대한 평가는 안 좋았소.
str_feast_lengthy_description_3|그 음식과 음료는 당신의 고귀한 손님들에게 충분했지만, 몇몇 사람들은 그들의 수행원도 없이 혼자서 돌아갔소. 당신의 고결한 사회적 의무를 최소한 그들은 이해하고 있고, 이는 당신의 명성을 올려줄 것이오.
str_feast_lengthy_description_4|당신은 그들이 당신을 신용할 수 밖에 없을 만큼 충분하고 다양한 음식과 음료를 제공했소. 음식과, 음료, 흥겨운 분위기는 당신의 손님들을 편안하게 했고, 그들이 자신의 왕국에 대한 문제를 숨김없이 이야기 하도록 할 수 있었소. 또한 그들은 당신에 대한 깊은 신용을 가지게 되었소.
str_feast_lengthy_description_5|당신은 풍부한 음식들을 고귀한 당신의 손님들을 위해서만 제공하지 않았고, 그들의 수행원들에게도 제공했으며, 가난한 사람들에게도 나눠줄 수 있었소. 당신의 손님들은 당신의 관대함을 칭찬했고, 사회적 지휘를 가진 사람으로서, 의무를 다 하는 모습에 칭찬을 아끼지 않았소. 술과 음식은 배불리 먹을 수 있었고, 모두 술에 취하며, 대화의 흥을 돋구었고, 그들과의 유대관계는 더욱 돈독해질 수 있을 것이오.
str_feast_lengthy_description_6|왕국은 한달간 지속된 당신의 관대한 식탁을 말할 것이며, 그리고 그것은 사람들이 열망하는 연회의 모범이 될 것이오. 당신은 당신의 손님들과 그들의 하인들 뿐만 아니라, 연회장 문에 서성이던 이들의 배도 불려줄 수 있었소.
str_credits_1|ⓒ2010 TaleWorlds Entertainment. Mount & Blade: Warband^ⓒ2014 Brytenwalda S.L. Viking Conquest
str_credits_2|BRYTENWALDA S.L.^^Game Design^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter
str_credits_3|Programming^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter^Slawomir Libura^Michael Lyubchenko^^Special thanks for the Battle GUI^Alexander Souslov (Snowbird Studios)
str_credits_4|Scenes^Asbjorn Lindegaard Moller^^Models^Cesar Inarrea^Leyre Ramirez^^2D Art^Marco Aurelio Balbas^^Textures^Miguel Egana Silva^Sebastian Wunnicke
str_credits_5|Shaders^Marc Natta^^Animations^Slawomir Libura^^Concept Artist^Marco Aurelio Balbas
str_credits_6|Script^Alberto Fuentevilla
str_credits_7|Original Music:^Jesse Hopkins
str_credits_8|Voice Talent:^Tassilo Egloffstein
str_credits_10|Paradox Interactive^^President and CEO:^Theodore Bergqvist^^Executive Vice President:^Fredrik Wester^^Chief Financial Officer:^Lena Eriksson^^Finance & Accounting:^Annlouise Larsson^^VP Sales & Marketing US:^Reena M. Miranda^^VP Sales & Marketing EU:^Martin Sirc^^Distribution Manager Nordic:^Erik Helmfridsson^^Director of PR & Marketing:^Susana Meza^^PR & Marketing:^Sofia Forsgren^^Product Manager:^Boel Bermann
str_credits_11|Logotype:^Jason Brown^^Cover Art:^Piotr Fox Wysocki^^Layout:^Christian Sabe^Melina Grundel^^Poster:^Piotr Fox Wysocki^^Map & Concept Art:^Ganbat Badamkhand^^Manual Editing:^Digital Wordsmithing: Ryan Newman, Nick Stewart^^Web:^Martin Ericsson^^Marketing Assets:^2Coats^^Localization:^S&H Entertainment Localization^^GamersGate:^Ulf Hedblom^Andreas Pousette^Martin Ericson^Christoffer Lindberg
str_credits_12|Thanks to all of our partners worldwide, in particular long-term partners:^Koch Media (Germany & UK)^Blue Label (Italy & France)^Friendware (Spain)^New Era Interactive Media Co. Ltd. (Asia)^Snowball (Russia)^Pinnacle (UK)^Porto Editora (Portugal)^Hell-Tech (Greece)^CD Projekt (Poland, Czech Republic, Slovakia & Hungary)^Paradox Scandinavian Distribution (Scandinavia)
str_credits_9|Tutorial written by:^Steve Negus^Armagan Yavuz^Edward Spoerl^^^Horse Motion Capture Animation Supplied by:^Richard Widgery & Kinetic Impulse^^^Physics:^Havok^^^Sound and Music Program Library:^FMODex Sound System by Firelight Technologies^^^Skybox Textures:^Jay Weston^^^Chinese Translation:^Hetairoi; Gaodatailang; silentjealousy; Ginn; fallout13; James; D.Kaede; Kan2; alixyang; muyiboy^^^TaleWorlds Director of Communications:^Ali Erkin ^^^TaleWorlds Forum Programming:^Brett Flannigan ^^^TaleWorlds.com Forum Administrators and Moderators:^Janus^Archonsod^Narcissus^Nairagorn^Lost Lamb^Deus Ex^Merentha^Volkier^Instag0^Ativan^ego^Guspav^Hallequin^Invictus^okiN^Raz^rejenorst^Skyrage^ThVaz^^^Mount&Blade Community Suggestions and Feedback:^A Mustang^adamlug^Adorno^alden^Alhanalem^amade^Anthallas^Alkhadias Master^Arch3r^Archevious^Arcas Nebun^Arcon^Arcturus^ares007^Arjihad^BadabombadaBang^Badun^BaronAsh^Berserker Pride^bgfan^bierdopjeee^Big Mac^Binboy^blink180heights^BlodsHammar^Bloid^Brandon^Brego^chenjielian^cifre^COGlory^Corinthian Hoplite^Crazed Rabbit^CryptoCactus^CtrlAltDe1337^Cuther^Da-V-Man^dimitrischris^dstemmer^EasyCo506^Egbert^ethneldryt^eudaimondaimon^Faranox^Fawzia dokhtar-i-Sanjar^Fei Dao^Gabeed^GeN76^General Hospital^GhosTR^glustrod^guspav^Halcyon^Harn^Hethwill^Highelfwarrior^HULKSMASH^Iberon^ignoble^Jack Merchantson^JoG^Jov^Kazzan^King Jonathan the Great^Kleidophoros^knight^Kong Burger^Kristiania^l3asu^Larkraxm^Leandro1021DX^lighthaze^Llew2^Lord Rich^lordum ediz^Lucke189^Mabons^MacPharlan^Madnes5^MagicMaster^Makh^ManiK^Manitas^Marin Peace Bringer^Martinet^MAXHARDMAN^Merlkir^miguel8500^Mithras^Moddan^Nate^Nemeo^Nite/m4re^noobalicous^Nord Champion^okiN^Orion^OTuphlos^Papa Lazarou^Phallas^Plazek^Prcin^PSYCHO78^PsykoOps^Reapy^Red River^Rhizobium^Riggea^Rongar^Ros^sadnhappy^Sarejo^ScientiaExcelsa^Scorch!^Seawied86^sebal87^shikamaru 1993^Shun^silentdawn^Sir Gowe^Skyrage^Slawomir of Aaarrghh^SoloSebo^SovietSoldier^Stabbing Hobo^Stratigos001^Styo^TalonAquila^test^The Yogi^Thundertrod^Thyr^Tim^Titanshoe^tmos^Toffey^Tonttu^Trenalok^Tronde^UberWiggett^Urist^Ursca^urtzi^Vermin^Viajero^Vincenzo^Vulkan^Warcat92^Welcome To Hell^Wheem^Wu-long^Yellonet^Yobbo^Yoshi Murasaki^Yoshiboy^Zyconnic^^^Special Thanks to Toby Lee for his ideas and in depth feedback on the combat system.^...and many many other wonderful Mount&Blade players!^^(This is only a small sample of all the players who have contributed to the game by providing suggestions and feedback.^This list has been compiled by sampling only a few threads in the Taleworlds Forums.^Unfortunately compiling an exhaustive list is almost impossible.^We apologize sincerely if you contributed your suggestions and feedback but were not listed here, and please know that we are grateful to you all the same...)
str_multi_scene_1|폐허
str_multi_scene_2|마을
str_multi_scene_3|성 1
str_multi_scene_4|폐허가 된 요새
str_multi_scene_5|신 5
str_multi_scene_6|신 6
str_multi_scene_7|강 있는 지형
str_multi_scene_8|성 2
str_multi_scene_9|눈 덮힌 마을
str_multi_scene_10|성 3
str_multi_scene_11|노스 도시
str_multi_scene_12|임의의 평야 (중간)
str_multi_scene_13|임의의 평야 (큰)
str_multi_scene_14|임의의 초원 (중간)
str_multi_scene_15|임의의 초원 (큰)
str_multi_scene_16|항구 요새
str_multi_scene_17|브런우드 요새
str_multi_scene_18|얼음 위에서 전투
str_multi_scene_19|마다르 성
str_multi_scene_inv_1|하드리아누스 장벽
str_multi_scene_inv_2|딘 아스
str_multi_scene_inv_3|딘 비치
str_multi_scene_inv_4|밍이우 요새
str_multi_scene_inv_5|브로크
str_multi_scene_20|임의의 평야
str_multi_scene_21|임의의 숲
str_multi_scene_22|임의의 설원
str_multi_sea_1|평온한 바다
str_multi_sea_2|폭풍이 부는 바다
str_multi_coast_1|항구 습격전
str_multi_coast_2|항구 습격전 (번개폭풍)
str_multi_scene_end|multi scene end
str_multi_game_type_1|데스매치
str_multi_game_type_2|팀 데스매치
str_multi_game_type_3|전투
str_multi_game_type_4|공성전
str_multi_game_type_5|결투
str_multi_game_type_6|해상 전투
str_multi_game_type_7|토르의 챔피언
str_multi_game_type_8|바이킹의 침략
str_multi_game_type_9|영주들의 전투
str_multi_game_type_10|습격
str_multi_game_types_end|multi game types end
str_multi_game_type_desc_1|^Every man for himself!^^Earn silver and glory with every kill.^^
str_multi_game_type_desc_2|^Two teams; endless respawns.^^Earn silver and a point for your faction with every kill.^
str_multi_game_type_desc_3|^Two teams; no respawn.^^Here you must focus on keeping you and your teammates alive as well as on personal kills.
str_multi_game_type_desc_4|^One team starts fortified, defending their flag against the clock and the other team. Respawns are slowed for the defender.^
str_multi_game_type_desc_5|^Find another player.^^Introduce yourself.^^Kill or be killed.^
str_multi_game_type_desc_6|^This is Battle mode, only afloat!^^^^
str_multi_game_type_desc_7|^Find and kill the Champion to gain Thor's favour!^^You only gain point for killing Thor's Champions and for killing other players while being the Champion.^^^
str_multi_game_type_desc_8|^Team up with other players and defend against the hordes of enemies!^^^
str_multi_game_type_desc_9|^This variant of Battle mode allows the player to purchase and lead armies of bots.^^^
str_multi_game_type_descs_end|^^^              Specials^^- Banner: inspires nearby teammates 10%^^- Priest: heals nearby teammates^^- Horn (Attack Button): heals AND inspires teammates, at a distance^^- Berserk (Key B): temporarily increases melee capabilities^^- Shield Taunt (RMB + Key Q): displays your disdain for the enemy^^
str_poll_kick_player_s1_by_s0|{s0}이(가) {s1}의 강제퇴장을 제안하여 투표를 실시합니다.
str_poll_ban_player_s1_by_s0|{s0}이(가) {s1}의 영구퇴장을 제안하여 투표를 실시합니다.
str_poll_change_map_to_s1_by_s0|{s0}이(가) {s1} 맵으로 변경하기 위한 투표를 실시합니다.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0}이(가) {s1} 맵으로 변경하고 세력을 {s2} 대 {s3}(으)로 변경하기 위한 투표를 실시합니다.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0}이(가) 봇 수를 {reg0}명 대 {reg1}명으로 변경하기 위한 투표를 실시합니다.
str_poll_kick_player|플레이어 {s0}을(를) 강제퇴장시킵니까: 1 = 수락, 2 = 거절
str_poll_ban_player|플레이어 {s0}을(를) 영구퇴장시킵니까: 1 = 수락, 2 = 거절
str_poll_change_map|{s0} 맵으로 변경하시겠까: 1 = 수락, 2 = 거절
str_poll_change_map_with_faction|{s0} 맵으로 변경하고 {s1} 대 {s2}(으)로 세력을 변경하시겠까: 1 = 수락, 2 = 거절
str_poll_change_number_of_bots|{s0}의 봇 수를 {reg0}명, {s1}의 봇 수를 {reg1}명으로 변경하시겠까: 1 = 수락, 2 = 거절
str_poll_time_left|({reg0}초 남음)
str_poll_result_yes|투표 결과, 통과되었다.
str_poll_result_no|투표 결과, 거절되었다.
str_total_item_cost_reg0|총 금액: {reg0}
str_server_name|서버 이름:
str_game_password|게임 비밀번호:
str_map|맵:
str_game_type|게임 타입:
str_max_number_of_players|최대 플레이어의 수:
str_number_of_bots_in_team_reg1|{reg1} 팀 봇의 수:
str_team_reg1_faction|{reg1} 팀 세력:
str_enable_valve_anti_cheat|밸브 안티 치트 허용 (유효한 스팀 계정 필요)
str_allow_friendly_fire|아군 원거리 공격 허용
str_allow_melee_friendly_fire|아군 근접 공격 허용
str_friendly_fire_damage_self_ratio|아군 공격시 자신에게 입히는 데미지 (%):
str_friendly_fire_damage_friend_ratio|아군 공격시 상대방에게 입히는 데미지 (%):
str_spectator_camera|관중 카메라:
str_control_block_direction|방어 컨트롤 설정:
str_map_time_limit|맵 시간 제한 (분):
str_round_time_limit|라운드 시간 제한 (초):
str_players_take_control_of_a_bot_after_death|죽었을 시 봇으로 부활
str_team_points_limit|팀 포인트 설정:
str_point_gained_from_flags|깃발 획득 시 얻는 포인트 (%):
str_point_gained_from_capturing_flag|깃발 노획 시 얻는 포인트:
str_respawn_period|부활 시간 (초):
str_add_to_official_game_servers_list|정식 서버 리스트에 추가
str_combat_speed|전투 속도:
str_combat_speed_0|가장 느림
str_combat_speed_1|느림
str_combat_speed_2|보통
str_combat_speed_3|빠름
str_combat_speed_4|가장 빠름
str_off|끄기
str_on|켜기
str_defender_spawn_count_limit|플레이어 부활 횟수:
str_unlimited|무제한
str_automatic|자동
str_by_mouse_movement|마우스 이동
str_free|자유
str_stick_to_any_player|모두
str_stick_to_team_members|팀원 캐릭터만
str_stick_to_team_members_view|팀원 캐릭터 시점
str_make_factions_voteable|세력 변경 투표 허용
str_make_kick_voteable|강제퇴장 투표 허용
str_make_ban_voteable|영구퇴장 투표 허용
str_bots_upper_limit_for_votes|봇 수 제한:
str_make_maps_voteable|맵 변경 투표 허용
str_valid_vote_ratio|투표 찬성율 (%):
str_auto_team_balance_limit|오토밸런스 차이 (인원 수):
str_welcome_message|환영의 말:
str_initial_gold_multiplier|기본 지급 금 (%):
str_battle_earnings_multiplier|전투 보너스 금 (%):
str_round_earnings_multiplier|라운드 보너스 금 (%):
str_allow_player_banners|개인 깃발 허용
str_force_default_armor|강제 최소한의 갑옷 착용
str_respawning_in_reg0_seconds|부활하기까지 {reg0}초 남았다.
str_no_more_respawns_remained_this_round|이번 라운드에 남은 목숨이 없다.
str_reg0_respawns_remained|({reg0} 목숨이 남았다)
str_this_is_your_last_respawn|(마지막 목숨입니다)
str_wait_next_round|(다음 라운드를 기다립니다)
str_yes_wo_dot|네
str_no_wo_dot|아니오
str_we_resign|우리는 싸울만한 기력이 남아 있지 않다. 우리는 {playername} 당신에게 항복합니다.
str_i_resign|난 죽기 싫어요. 항복하겠어요.
str_s1_returned_flag|  {s1}이 깃발을 그들의 본거지에 되돌려놨다!
str_s1_auto_returned_flag|  {s1}이 자동으로 깃발을 그들의 본거지로 되돌려놨다!
str_s1_captured_flag|{s1}이 적의 깃발을 빼앗았다!
str_s1_taken_flag|  {s1}이 깃발을 획득했다!
str_s1_neutralized_flag_reg0|  {s1}이 reg0}번 깃발을 중립화에 성공하였다.
